,date,title,link
99,20040418,WORTH NOTING: UPDATE; Where 45 M.P.H. Does Not Mean Nudging 50 - The New York Times,https://www.nytimes.com/2004/04/18/nyregion/worth-noting-update-where-45-mph-does-not-mean-nudging-50.html?searchResultPosition=431
100,20060103,Rescuers search for survivors after deadly rink collapse - The New York Times,https://www.nytimes.com/2006/01/03/world/europe/rescuers-search-for-survivors-after-deadly-rink-collapse.html?searchResultPosition=446
101,20070829,"After Blaze, New Focus on Smoking at Work Sites - The New York Times",https://www.nytimes.com/2007/08/29/nyregion/29smoke.html?searchResultPosition=448
102,20081219,Elevated Walkway Collapse in Atlanta Kills One - The New York Times,https://www.nytimes.com/2008/12/20/us/20collapse.html?searchResultPosition=453
103,20070624,Opinion | An Overdue Overhaul - The New York Times,https://www.nytimes.com/2007/06/24/opinion/nyregionopinions/CIcode.html?searchResultPosition=458
104,20110803,"Officials, Construction Workers and Contractors Jailed in Shanghai Fire - The New York Times",https://www.nytimes.com/2011/08/04/world/asia/04shanghai.html?searchResultPosition=470
105,20010624,Buildings Emptied Near Sagging Brownstone - The New York Times,https://www.nytimes.com/2001/06/24/nyregion/buildings-emptied-near-sagging-brownstone.html?searchResultPosition=483
106,20071022,2 Planes Collide; No One Is Hurt - The New York Times,https://www.nytimes.com/2007/10/22/nyregion/22plane.html?searchResultPosition=487
107,20120707,Two Killed in Crane Collapse on Dallas Campus - The New York Times,https://www.nytimes.com/2012/07/08/us/two-killed-in-crane-collapse-on-dallas-campus.html?searchResultPosition=493
108,20040501,Worker Dies in Fall From Fresh Kills Bridge - The New York Times,https://www.nytimes.com/2004/05/01/nyregion/worker-dies-in-fall-from-fresh-kills-bridge.html?searchResultPosition=498
109,20131122,Death Toll Rises in Supermarket Collapse in Latvia - The New York Times,https://www.nytimes.com/2013/11/23/world/europe/latvia-supermarket-collapse.html?searchResultPosition=499
110,20080722,Another bulldozer rampage in Jerusalem - The New York Times,https://www.nytimes.com/2008/07/22/world/africa/22iht-23israel.14688247.html?searchResultPosition=515
111,20031225,Man Is Hurt After Plywood Is Blown From 50th Floor - The New York Times,https://www.nytimes.com/2003/12/25/nyregion/man-is-hurt-after-plywood-is-blown-from-50th-floor.html?searchResultPosition=517
112,20120411,Crane Operators and New York Spar Over Licensing Rules - The New York Times,https://www.nytimes.com/2012/04/12/nyregion/crane-operators-and-new-york-spar-over-licensing-rules.html?searchResultPosition=524
113,20060711,Woman Killed as Slab Falls From Big Dig Tunnel - The New York Times,https://www.nytimes.com/2006/07/11/us/11cnd-boston.html?searchResultPosition=533
114,20161129,"Giant Arch, a Feat of Engineering, Now Covers Chernobyl Site in Ukraine - The New York Times",https://www.nytimes.com/2016/11/29/world/europe/chernobyl-disaster-cover.html?searchResultPosition=536
115,20050306,Big Wheels and Heavy Traffic - The New York Times,https://www.nytimes.com/2005/03/06/nyregion/big-wheels-and-heavy-traffic.html?searchResultPosition=539
116,20030409,Fire Is Latest Setback at AOL Time Warner Tower in Columbus Circle - The New York Times,https://www.nytimes.com/2003/04/09/nyregion/fire-is-latest-setback-at-aol-time-warner-tower-in-columbus-circle.html?searchResultPosition=540
117,20080316,Crews Prepare to Remove Fallen Manhattan Crane - The New York Times,https://www.nytimes.com/2008/03/16/nyregion/16cnd-crane.html?searchResultPosition=551
118,20010401,Road to Frustration - The New York Times,https://www.nytimes.com/2001/04/01/nyregion/road-to-frustration.html?searchResultPosition=553
119,20170503,Coal Mine Blast in Iran Kills at Least 23 and Traps Dozens - The New York Times,https://www.nytimes.com/2017/05/03/world/middleeast/iran-miners-trapped.html?searchResultPosition=555
120,20011025,5 Die as Scaffolding Collapses At Manhattan Office Building - The New York Times,https://www.nytimes.com/2001/10/25/nyregion/5-die-as-scaffolding-collapses-at-manhattan-office-building.html?searchResultPosition=556
121,20031216,A Worker Is Killed In a Trench Collapse - The New York Times,https://www.nytimes.com/2003/12/16/nyregion/a-worker-is-killed-in-a-trench-collapse.html?searchResultPosition=558
122,20090730,"After a Freak Accident in Central Park, a New Look at Trees - The New York Times",https://www.nytimes.com/2009/07/31/nyregion/31branch.html?searchResultPosition=575
123,20040406,Work Ordered to Stop at Columbus Circle - The New York Times,https://www.nytimes.com/2004/04/06/nyregion/work-ordered-to-stop-at-columbus-circle.html?searchResultPosition=603
124,20020928,TRAIN TO KENNEDY DERAILS IN A TEST - The New York Times,https://www.nytimes.com/2002/09/28/nyregion/train-to-kennedy-derails-in-a-test.html?searchResultPosition=607
125,20040404,DONE - The New York Times,https://www.nytimes.com/2004/04/04/nyregion/done.html?searchResultPosition=609
126,20080326,"Crane Collapses in Miami, Killing 2 - The New York Times",https://www.nytimes.com/2008/03/26/us/25cnd-crane.html?searchResultPosition=614
127,20070824,Two Firefighters Are Hurt at Ground Zero Site - The New York Times,https://www.nytimes.com/2007/08/24/nyregion/24bank.html?searchResultPosition=619
