869,believed,19
870,either,19
871,structural,19
872,dollars,19
873,toward,19
874,crime,19
875,listed,19
876,changes,19
877,sometimes,19
878,2008,19
879,brick,19
880,requirements,19
881,graffagnino,19
882,manuel,19
883,lawsuit,19
884,families,19
885,delvalle,19
886,ever,19
887,roads,19
888,usually,19
889,fuel,19
890,expressway,19
891,bolts,19
892,i-287,19
893,dozens,18
894,wanted,18
895,pronounced,18
896,filled,18
897,gone,18
898,allowed,18
899,17,18
900,fink,18
901,weight,18
902,employed,18
903,guy,18
904,try,18
905,pounds,18
906,midtown,18
907,worst,18
908,osha,18
909,briefed,18
910,sound,18
911,d.,18
912,garage,18
913,course,18
914,walking,18
915,facade,18
916,american,18
917,political,18
918,matter,18
919,miami,18
920,hand,18
921,dust,18
922,reilly,18
923,professional,18
924,conduct,17
925,prevent,17
926,happen,17
927,feel,17
928,measures,17
929,senior,17
930,everything,17
931,200,17
932,let,17
933,secured,17
934,whole,17
935,resulted,17
936,pending,17
937,w.,17
938,beams,17
939,morgenthau,17
940,parts,17
941,relatives,17
942,august,17
943,focused,17
944,lines,17
945,entire,17
946,reason,17
947,rising,17
948,injuring,17
949,bottom,17
950,summer,17
951,exit,17
952,route,17
953,williamsburg,17
954,services,17
955,zero,17
956,door,17
957,pay,17
958,television,17
959,windows,17
960,hall,17
961,criticized,17
962,licenses,17
963,means,17
964,allow,17
965,seemed,17
966,urban,17
967,america,17
968,market,17
969,bridges,17
970,lynch,17
971,23,17
972,final,17
973,blast,17
974,texas,17
975,albano,17
976,channel,17
977,armstrong,17
978,hyundai,17
979,kept,16
980,&,16
981,owners,16
982,responded,16
983,considered,16
984,students,16
985,followed,16
986,april,16
987,n.j.,16
988,19,16
989,pull,16
990,bay,16
991,demolished,16
992,events,16
993,wreckage,16
994,labor,16
995,avenues,16
996,parking,16
997,suspended,16
998,passengers,16
999,harness,16
1000,sanchez,16
1001,probably,16
1002,backhoe,16
1003,rate,16
1004,throughout,16
1005,operated,16
1006,neighbors,16
1007,f.,16
1008,role,16
1009,signs,16
1010,wood,16
1011,organization,16
1012,fourth,16
1013,guilty,16
1014,2002,16
1015,standpipe,16
1016,p.,16
1017,rescued,16
1018,jerusalem,16
1019,evidence,16
1020,difficult,16
1021,runs,16
1022,mother,16
1023,turn,16
1024,shed,16
1025,great,16
1026,panel,16
1027,tell,16
1028,trouble,16
1029,action,16
1030,connector,16
1031,responsible,16
1032,runway,16
1033,fireworks,16
1034,source,16
1035,indian,16
1036,mccain,16
1037,surprise,15
1038,helping,15
1039,areas,15
1040,cities,15
1041,needed,15
1042,increase,15
1043,regulatory,15
1044,violation,15
1045,anthony,15
1046,waiting,15
1047,hear,15
1048,finished,15
1049,special,15
1050,fine,15
1051,citations,15
1052,headquarters,15
1053,wearing,15
1054,wooden,15
1055,remains,15
1056,event,15
1057,shot,15
1058,esposito,15
1059,4,15
1060,passed,15
1061,complained,15
1062,eighth,15
1063,seeking,15
1064,per,15
1065,experience,15
1066,deadly,15
1067,tall,15
1068,lay,15
1069,assistant,15
1070,carry,15
1071,tishman,15
1072,inquiry,15
1073,29,15
1074,responsibility,15
1075,despite,15
1076,snapped,15
1077,n.y.,15
1078,green,15
1079,retired,15
1080,stood,15
1081,walkway,15
1082,florida,15
1083,decades,15
1084,safely,15
1085,sought,15
1086,devices,15
1087,rather,15
1088,500,15
1089,expensive,15
1090,license,15
1091,gusts,15
1092,pipes,15
1093,builder,15
1094,-,15
1095,bodies,15
1096,fires,15
1097,electricity,15
1098,spot,14
1099,larger,14
1100,lead,14
1101,representative,14
1102,start,14
1103,45,14
1104,houses,14
1105,paid,14
1106,conducted,14
1107,battalion,14
1108,operations,14
1109,'ve,14
1110,halted,14
1111,42nd,14
1112,existing,14
1113,hands,14
1114,digging,14
1115,future,14
1116,employee,14
1117,campaign,14
1118,lift,14
1119,loud,14
1120,industries,14
1121,americas,14
1122,l.,14
1123,answered,14
1124,2003,14
1125,test,14
1126,especially,14
1127,weather,14
1128,example,14
1129,jan.,14
1130,agreed,14
1131,columbus,14
1132,lomma,14
1133,operation,14
1134,hudson,14
1135,soho,14
1136,fama,14
1137,web,14
1138,names,14
1139,december,14
