"id","pubyear","title"
"WOS:000265987200010","2009","Benchmark tests for BIM data exchanges of precast concrete"
"WOS:000268902600646","2009","APOPTOSIS MARKERS BIM AND BCL2 MRNA TRANSCRIPTION IN PERIPHERAL BLOOD MONONUCLEAR CELLS CAN DISTINGUISH BETWEEN THE HUMAN HOST RESPONSE IN INFECTION AND SEPSIS"
"WOS:000266703300052","2009","Using constraints to validate and check building information models"
"WOS:000266703300074","2009","From building information models to semantic process driven interoperability: The Journey continues"
"WOS:000270649500002","2009","Apoptosis and autophagy: BIM as a mediator of tumour cell death in response to oncogene-targeted therapeutics"
"WOS:000264211200014","2009","Building information modelling framework: A research and delivery foundation for industry stakeholders"
"WOS:000269179400015","2009","BDNF regulates BIM expression levels in 3-nitropropionic acid-treated cortical neurons"
"WOS:000273393800034","2009","Syntheses and Crystal Structures of Two Chloro-Bridged Coordination Polymers [Cd(BIM)Cl-2](n) and [Pb(BIM)Cl-2](n)"
"WOS:000266703300046","2009","Use of BIM and GIS to enable climatic adaptations of buildings"
"WOS:000266161300028","2009","Displacement of wild type lymphopoiesis by bone marrow cells lacking the BH3-only proteins BIM or BMF but not puma"
"WOS:000210021300036","2009","EVALUATING INDUSTRY PERCEPTIONS OF BUILDING INFORMATION MODELING (BIM) IMPACT ON CONSTRUCTION"
"WOS:000272725801416","2009","Chronic Lymphocytic Leukemia Apoptotic Cell Death Induced by Glucocorticoids Is Mediated by BIM and GILZ and Can Be Predicted by FKBP5 Basal Expression Levels"
"WOS:000279413300001","2010","Building information modeling and collaborative working environments"
"WOS:000279413300005","2010","Two design patterns for facilitating Building Information Model-based synchronous collaboration"
"WOS:000278660800011","2010","Application Takes BIM On the Go"
"WOS:000279413300014","2010","Requirements for building information modeling based lean production management systems for construction"
"WOS:000282307100001","2010","EDITORIAL: Expanding BIM to Meet the Grand Challenges in Buildings-What is Needed?"
"WOS:000323845700106","2010","Building Information Modeling as a Tool for the Design of Airports"
"WOS:000358297400027","2010","INCORPORATING 3D SPATIAL OPERATOR WITH BUILDING INFORMATION MODELS IN CONSTRUCTION MANAGEMENT USING GEO-DBMS"
"WOS:000289662200438","2010","A Stapled BIM BH3 Helix Restores Apoptosis In Bim-Null Mantle Cell Lymphoma"
"WOS:000289321200010","2010","Building Information Modelling in the decision process of retrofitting the envelope of public buildings - a case study"
"WOS:000358297400004","2010","FROM GIS TO BIM AND BACK AGAIN - A SPATIAL QUERY LANGUAGE FOR 3D BUILDING MODELS AND 3D CITY MODELS"
"WOS:000283299500025","2010","AICAR induces apoptosis independently of AMPK and p53 through up-regulation of the BH3-only proteins BIM and NOXA in chronic lymphocytic leukemia cells"
"WOS:000396400805230","2010","Bio-inspired Kinetic Envelopes for Building Energy Efficiency based on Parametric Design of Building Information Modeling"
"WOS:000313637300004","2010","INTEGRATING BIM WITH SYSTEM DYNAMICS AS A DECISION-MAKING FRAMEWORK FOR SUSTAINABLE BUILDING DESIGN AND OPERATION"
"WOS:000210023400015","2010","THE PERCEIVED VALUE OF BUILDING INFORMATION MODELING IN THE U.S. BUILDING INDUSTRY"
"WOS:000208280800011","2010","Integrated project delivery and building information modeling: A new breed of contract"
"WOS:000282645900021","2010","Reversion of epigenetically mediated BIM silencing overcomes chemoresistance in Burkitt lymphoma"
"WOS:000281247700101","2010","Building Information Modeling and Interoperability with Environmental Simulation Systems"
"WOS:000283003800098","2010","Implementation of Building Information Modeling (BIM) in Construction: A Comparative Case Study"
"WOS:000283299500024","2010","Epigenetic silencing of BIM in glucocorticoid poor-responsive pediatric acute lymphoblastic leukemia, and its reversal by histone deacetylase inhibition"
"WOS:000313637300014","2010","USING BUILDING INFORMATION MODELING TO STREAMLINE LEED (R) RATING ANALYSES"
"WOS:000358297400044","2010","INTEGRATION OF BIM AND GIS: THE DEVELOPMENT OF THE CITYGML GEOBIM EXTENSION"
"WOS:000340629400009","2010","Utilizing 4D BIM Models in the Early Stages of Design"
"WOS:000313637300012","2010","BUILDING INFORMATION MODELLING - TRANSFORMATION OF BUILDING INDUSTRY PRACTICE"
"WOS:000313637300016","2010","THE LIMITATIONS OF BIM IN THE ARCHITECTURAL PROCESS"
"WOS:000324148500041","2010","BUILDING INFORMATION MODELLING IN CIVIL ENGINEERING EDUCATION"
"WOS:000213069500006","2010","Exchange of Relevant Information in BIM Objects Defined by the Role-and Life-Cycle Information Model"
"WOS:000209823802241","2010","Prednisolone induces BIM expression in pediatric acute lymphoblastic leukemia and synergizes with BH3-mimetics GX15-070 and ABT-737"
"WOS:000208762004324","2010","Direct Activators BID & BIM Function Like Membrane Receptors for BAX & BCL-XL"
"WOS:000333218000005","2010","On Building Information Modeling in Early Design Phases: A Case Study of BIM-Based Architectural Competition"
"WOS:000313637300020","2010","ISSUES AND IMPLEMENTATION METHODS FOR BIM IN THE CIVIL INFRASTRUCTURE DOMAIN"
"WOS:000281650200090","2010","The Impact of Building Information Modeling on the Architectural Design Process"
"WOS:000273037100005","2010","Teaching Building Information Modeling as an Integral Part of Freshman Year Civil Engineering Education"
"WOS:000296180800045","2010","Using IFC Standard to Integrate BIM Models and GIS"
"WOS:000282418400333","2010","IL-21 induces apoptosis of splenic conventional dendritic cells through STAT3 and BIM and can be rescued by GM-CSF"
"WOS:000213069500007","2010","Attributes of Building Information Modelling Implementations in Various Countries"
"WOS:000273037200004","2010","Exchange Model and Exchange Object Concepts for Implementation of National BIM Standards"
"WOS:000280941600004","2010","Interaction of Lean and Building Information Modeling in Construction"
"WOS:000276283000108","2010","Potential of Building Information Modeling (BIM) system"
"WOS:000278107200548","2010","LOSS OF ANTIGEN-SPECIFIC CD8(+) T CELL RESPONSES IN CHRONIC ETHANOL MICE IS ACCOMPANIED BY CD8(+) T CELL APOPTOSIS AND ALTERATIONS OF BIM EXPRESSION"
"WOS:000285223900003","2010","Understanding and facilitating BIM adoption in the AEC industry"
"WOS:000340629400010","2010","Teaching Building Information Modeling at Undergraduate and Graduate Levels"
"WOS:000313637300015","2010","TECHNOLOGY ADOPTION IN THE BIM IMPLEMENTATION FOR LEAN ARCHITECTURAL PRACTICE"
"WOS:000287728003231","2010","ENHANCED VISUAL CATEGORIZATION PERFORMANCES BY INCORPORATION OF SIMPLE FEATURES INTO BIM FEATURES"
"WOS:000285223900001","2010","Special Issue: The role of VR and BIM to manage the construction and design processes"
"WOS:000278909100004","2010","Building Information Modeling in Architecture, Engineering, and Construction: Emerging Research Directions and Trends"
"WOS:000279413300002","2010","Value proposition on interoperability of BIM and collaborative working environments"
"WOS:000279616300014","2010","BH3-only proteins BIM and PUMA in the regulation of survival and neuronal differentiation of newly generated cells in the adult mouse hippocampus"
"WOS:000278076200005","2010","The Rosewood experiment - Building information modeling and interoperability for architectural precast facades"
"WOS:000281989403277","2010","Pharmacokinetic (PK) Behaviour of BIM 23A760 after Subcutaneous Administration in Healthy Volunteers and Patients with Active Acromegaly."
"WOS:000277299700006","2010","Role for the Proapoptotic Factor BIM in Mediating Imatinib-induced Apoptosis in a c-KIT-dependent Gastrointestinal Stromal Tumor Cell Line"
"WOS:000273366300006","2010","Understanding adoption and use of BIM as the creation of actor networks"
"WOS:000278076200001","2010","Building information modeling and interoperability"
"WOS:000208675506547","2010","The proapoptotic factor BIM is necessary and sufficient for cAMP/PKA-induced apoptosis in murine S49 lymphoma cells"
"WOS:000213068600002","2010","Integrated Design and Engineering using Building Information Modelling: A Pilot Project of Small-Scale Housing Development in The Netherlands"
"WOS:000213999200005","2010","Building information modelling: the UK legal context"
"WOS:000214925000012","2010","Simulation of Clinical Work Environments using BIM and Computer Gaming Technology"
"WOS:000290418600156","2010","How building information modeling has changed the MEP coordination process"
"WOS:000213069500004","2010","Tool for Benchmarking BIM Performance of Design, Engineering and Construction Firms in The Netherlands"
"WOS:000283388600002","2010","Automatic reconstruction of as-built building information models from laser-scanned point clouds: A review of related techniques"
"WOS:000278753500009","2010","Using BIM In HVAC Design"
"WOS:000209701401223","2011","Roles of BIM induction and survivin down-regulation in lapatinib-induced apoptosis in breast cancer cells with HER2 amplification"
"WOS:000219678100013","2011","Simulation of calendar planning in Building information modelling programms and regression detailing of construction period rules"
"WOS:000420486500026","2011","BUILDING INFORMATION MODELLING FOR TERTIARY CONSTRUCTION EDUCATION IN HONG KONG"
"WOS:000391776100013","2011","The role of geometric models' conversion as the base of digital tools of BIM for sustainable architectural design"
"WOS:000392455900031","2011","Utilization of Visual Object Information for Civil Engineering BIM Implementation in Construction Lifecycle Stages"
"WOS:000309944000026","2011","MDM AS A TOOL TO IMPROVE BIM DEVELOPMENT PROCESSES"
"WOS:000300520803060","2011","BUILDING CODE COMPLIANCE CHECKING USING BIM TECHNOLOGY"
"WOS:000298735700010","2011","Design of Track Alignment Using Building Information Modeling"
"WOS:000287499500005","2011","Assembly of two coordination polymers [Cu(BIM)(suc)]n and [Cd(BIM)(ox)(H2O)]n constructed from bis(imidazol-1-yl)methane"
"WOS:000421998700002","2011","USING BIM MODEL AND GENETIC ALGORITHMS TO OPTIMIZE THE CREW ASSIGNMENT FOR CONSTRUCTION PROJECT PLANNING"
"WOS:000291763400250","2011","Truncation of a 20-mer Wild Type BIM BH3 Domain Peptide: Identification of The Minimum Sequence Necessary For Promoting Cell Death of Prostate Cancer (PC3) Cells"
"WOS:000295578002303","2011","REQUIREMENT OF BH3-ONLY ACTIVATOR PROTEINS BID AND BIM FOR APOPTOSIS BY GENETIC ABLATION OF BCL-XL IS COMPLETELY DIFFERENT BETWEEN HEPATOCYTES AND PLATELETS"
"WOS:000378520700036","2011","Implementing Building Information Modeling in Construction Engineering Curricula"
"WOS:000392351000055","2011","INTEROPERABILITY BETWEEN GIS AND BIM A Semantic-based Multi-representation Approach"
"WOS:000288294100014","2011","Building information modeling for sustainable design and LEED (R) rating analysis"
"WOS:000335665500024","2011","Simulation Design Tools Using Parametric Building Information Modeling and Physical Simulation for Form Finding of Double Curved Surfaces"
"WOS:000295357500005","2011","Roles of BIM induction and survivin downregulation in lapatinib-induced apoptosis in breast cancer cells with HER2 amplification"
"WOS:000296507700014","2011","Construction Engineering Requirements for Integrating Laser Scanning Technology and Building Information Modeling"
"WOS:000299597102261","2011","A Common Deletion Polymorphism in the BIM Gene Contributes to Intrinsic Imatinib Resistance in Chronic Myelogenous Leukemia"
"WOS:000358300100006","2011","TOWARD ACCESSING SPATIAL STRUCTURE FROM BUILDING INFORMATION MODELS"
"WOS:000211569000006","2011","Modelling the costs of corporate implementation of building information modelling"
"WOS:000337074100006","2011","Outfitting BIM with site safety planning dimensions"
"WOS:000290193700011","2011","A review and outlook for a 'Building Information Model' (BIM): A multi-standpoint framework for technological development"
"WOS:000300520803074","2011","ANALYSIS OF THE DIFFERENCES IN ENERGY SIMULATION RESULTS BETWEEN BUILDING INFORMATION MODELING (BIM)-BASED SIMULATION METHOD AND THE DETAILED SIMULATION METHOD"
"WOS:000298352900035","2011","ERK5 KNOCK DOWN AGGRAVATES DETRIMENTAL EFFECTS OF HYPOTHERMAL STIMULATION ON CARDIOMYOCYTES VIA BIM UPREGULATION"
"WOS:000289282200038","2011","TDP-43-induced Death Is Associated with Altered Regulation of BIM and Bcl-xL and Attenuated by Caspase-mediated TDP-43 Cleavage"
"WOS:000296206500018","2011","Structure of the Major O-Specific Polysaccharide from the Lipopolysaccharide of Pseudomonas fluorescens BIM B-582: Identification of 4-Deoxy-D-xylo-hexose As a Component of Bacterial Polysaccharides"
